cline,passage,group,plate,DO528nm,exclude
QNS522b,6,CTRL,6,1059,
QNS522b,6,CTRL,6,1169,
QNS522b,6,CTRL,6,1017,
QNS522b,6,BMP4 100,6,1117,
QNS522b,6,BMP4 100,6,1217,
QNS522b,6,BMP4 100,6,1276,
QNS522b,6,BMP4 100,6,1057,
QNS522b,6,BMP4 100,6,934,
GBM1a,17,CTRL,7,3371,
GBM1a,17,CTRL,7,3623,
GBM1a,17,CTRL,7,4182,
GBM1a,17,CTRL,7,3530,
GBM1a,17,CTRL,7,3306,
GBM1a,17,BMP4 100,7,1691,
GBM1a,17,BMP4 100,7,2115,
GBM1a,17,BMP4 100,7,2382,
GBM1a,17,BMP4 100,7,1924,
GBM1a,17,BMP4 100,7,1763,
QNS108,14,CTRL,7,855,
QNS108,14,CTRL,7,705,
QNS108,14,CTRL,7,840,
QNS108,14,CTRL,7,901,
QNS108,14,CTRL,7,881,
QNS108,14,BMP4 100,7,696,
QNS108,14,BMP4 100,7,591,
QNS108,14,BMP4 100,7,769,
QNS108,14,BMP4 100,7,679,
QNS108,14,BMP4 100,7,673,
QNS315,10,CTRL,7,597,
QNS315,10,CTRL,7,519,
QNS315,10,CTRL,7,542,
QNS315,10,CTRL,7,603,
QNS315,10,CTRL,7,622,
QNS315,10,BMP4 100,7,737,
QNS315,10,BMP4 100,7,596,
QNS315,10,BMP4 100,7,660,
QNS315,10,BMP4 100,7,751,
QNS315,10,BMP4 100,7,812,
QNS690,7,CTRL,7,1856,
QNS690,7,CTRL,7,1916,
QNS690,7,CTRL,7,1534,
QNS690,7,CTRL,7,2058,
QNS690,7,CTRL,7,1891,
QNS690,7,BMP4 100,7,1458,
QNS690,7,BMP4 100,7,1317,
QNS690,7,BMP4 100,7,1298,
QNS690,7,BMP4 100,7,1334,
QNS690,7,BMP4 100,7,980,
QNS679,9,CTRL,7,1402,
QNS679,9,CTRL,7,1083,
QNS679,9,CTRL,7,1122,
QNS679,9,CTRL,7,1133,
QNS679,9,CTRL,7,1088,
QNS679,9,BMP4 100,7,1234,
QNS679,9,BMP4 100,7,971,yes
QNS679,9,BMP4 100,7,1327,
QNS679,9,BMP4 100,7,1388,
QNS679,9,BMP4 100,7,1386,
QNS166,10,CTRL,8,742,
QNS166,10,CTRL,8,688,
QNS166,10,CTRL,8,662,
QNS166,10,CTRL,8,674,
QNS166,10,CTRL,8,650,
QNS166,10,BMP4 100,8,636,
QNS166,10,BMP4 100,8,590,
QNS166,10,BMP4 100,8,570,
QNS166,10,BMP4 100,8,550,
QNS166,10,BMP4 100,8,564,
QNS282,13,CTRL,8,1962,
QNS282,13,CTRL,8,2000,
QNS282,13,CTRL,8,2060,
QNS282,13,CTRL,8,1870,
QNS282,13,CTRL,8,2024,
QNS282,13,BMP4 100,8,1792,
QNS282,13,BMP4 100,8,1606,
QNS282,13,BMP4 100,8,1676,
QNS282,13,BMP4 100,8,1696,
QNS282,13,BMP4 100,8,1628,
GBM549,20,CTRL,8,2422,
GBM549,20,CTRL,8,2212,
GBM549,20,CTRL,8,2384,
GBM549,20,CTRL,8,2266,
GBM549,20,CTRL,8,2368,
GBM549,20,BMP4 100,8,3804,
GBM549,20,BMP4 100,8,2702,
GBM549,20,BMP4 100,8,3176,
GBM549,20,BMP4 100,8,3496,
GBM549,20,BMP4 100,8,3448,
QNS712,10,CTRL,8,1808,
QNS712,10,CTRL,8,1522,
QNS712,10,CTRL,8,1530,
QNS712,10,CTRL,8,1354,
QNS712,10,CTRL,8,1760,
QNS712,10,BMP4 100,8,2352,
QNS712,10,BMP4 100,8,2458,
QNS712,10,BMP4 100,8,2380,
QNS712,10,BMP4 100,8,2338,
QNS712,10,BMP4 100,8,2252,
QNS108,11,CTRL,8,1236,
QNS108,11,CTRL,8,1109,
QNS108,11,CTRL,8,1052,
QNS108,11,BMP4 100,8,927,
QNS108,11,BMP4 100,8,1488,
QNS108,11,BMP4 100,8,1198,
QNS140,11,CTRL,8,500,
QNS140,11,CTRL,8,470,
QNS140,11,CTRL,8,415,
QNS140,11,BMP4 100,8,315,
QNS140,11,BMP4 100,8,360,
QNS140,11,BMP4 100,8,352,
QNS140,11,BMP4 100,8,438,
QNS679,10,CTRL,8,299,
QNS679,10,CTRL,8,306,
QNS679,10,CTRL,8,364,
QNS679,10,BMP4 100,8,373,yes
QNS679,10,BMP4 100,8,409,
QNS679,10,BMP4 100,8,432,
QNS679,10,BMP4 100,8,480,
QNS690,8,CTRL,8,2482,
QNS690,8,CTRL,8,2427,
QNS690,8,CTRL,8,2030,
QNS690,8,BMP4 100,8,1830,
QNS690,8,BMP4 100,8,1901,
QNS690,8,BMP4 100,8,1726,
QNS690,8,BMP4 100,8,2777,
QNS712,11,CTRL,8,163,yes
QNS712,11,CTRL,8,153,yes
QNS712,11,CTRL,8,218,yes
QNS712,11,BMP4 100,8,143,yes
QNS712,11,BMP4 100,8,162,yes
QNS712,11,BMP4 100,8,226,yes
QNS712,11,BMP4 100,8,321,yes
GBM965,12,CTRL,8,3832,
GBM965,12,CTRL,8,4007,
GBM965,12,CTRL,8,3734,
GBM965,12,BMP4 100,8,2800,
GBM965,12,BMP4 100,8,2824,
GBM965,12,BMP4 100,8,3006,
GBM965,12,BMP4 100,8,3373,
QNS322,NA,CTRL,9.1,360,yes
QNS322,NA,CTRL,9.1,388,yes
QNS322,NA,CTRL,9.1,391,yes
QNS322,NA,CTRL,9.1,456,yes
QNS322,NA,BMP4 100,9.1,503,yes
QNS322,NA,BMP4 100,9.1,539,yes
QNS322,NA,BMP4 100,9.1,539,yes
QNS322,NA,BMP4 100,9.1,458,yes
QNS337,NA,CTRL,9.1,1012,yes
QNS337,NA,CTRL,9.1,811,yes
QNS337,NA,CTRL,9.1,995,yes
QNS337,NA,CTRL,9.1,874,yes
QNS337,NA,BMP4 100,9.1,669,yes
QNS337,NA,BMP4 100,9.1,430,yes
QNS337,NA,BMP4 100,9.1,346,yes
QNS337,NA,BMP4 100,9.1,283,yes
QNS509,1,BMP4 100,9,139,yes
QNS509,1,BMP4 100,9,117,yes
QNS509,1,BMP4 100,9,155,yes
QNS509,1,BMP4 100,9,109,yes
QNS509,2,BMP4 100,9,141,yes
QNS509,2,BMP4 100,9,211,yes
QNS509,2,BMP4 100,9,218,yes
QNS509,2,BMP4 100,9,138,yes
GBM549,NA,CTRL,9.1,980,
GBM549,NA,CTRL,9.1,1323,
GBM549,NA,CTRL,9.1,1684,
GBM549,NA,CTRL,9.1,2068,
GBM549,NA,BMP4 100,9.1,1772,
GBM549,NA,BMP4 100,9.1,1989,
GBM549,NA,BMP4 100,9.1,2233,
GBM549,NA,BMP4 100,9.1,1978,
QNS322,NA,CTRL,9.2,484,yes
QNS322,NA,CTRL,9.2,425,yes
QNS322,NA,CTRL,9.2,455,yes
QNS322,NA,CTRL,9.2,481,yes
QNS322,NA,BMP4 100,9.2,453,yes
QNS322,NA,BMP4 100,9.2,413,yes
QNS322,NA,BMP4 100,9.2,430,yes
QNS322,NA,BMP4 100,9.2,504,yes
QNS337,NA,CTRL,9.2,1065,yes
QNS337,NA,CTRL,9.2,1122,yes
QNS337,NA,CTRL,9.2,1082,yes
QNS337,NA,CTRL,9.2,977,yes
QNS337,NA,BMP4 100,9.2,802,yes
QNS337,NA,BMP4 100,9.2,677,yes
QNS337,NA,BMP4 100,9.2,457,yes
QNS337,NA,BMP4 100,9.2,290,yes
QNS509,3,BMP4 100,9,211,yes
QNS509,3,BMP4 100,9,463,yes
QNS509,3,BMP4 100,9,128,yes
QNS509,3,BMP4 100,9,187,yes
QNS509,1,CTRL,9,104,yes
QNS509,1,CTRL,9,122,yes
QNS509,1,CTRL,9,370,yes
QNS509,1,CTRL,9,218,yes
GBM549,NA,CTRL,9.2,1049,
GBM549,NA,CTRL,9.2,1381,
GBM549,NA,CTRL,9.2,1523,
GBM549,NA,CTRL,9.2,1796,
GBM549,NA,BMP4 100,9.2,2279,
GBM549,NA,BMP4 100,9.2,2137,
GBM549,NA,BMP4 100,9.2,2090,
GBM549,NA,BMP4 100,9.2,2213,
QNS322,NA,CTRL,9.3,509,yes
QNS322,NA,CTRL,9.3,562,yes
QNS322,NA,CTRL,9.3,532,yes
QNS322,NA,CTRL,9.3,562,yes
QNS322,NA,BMP4 100,9.3,518,yes
QNS322,NA,BMP4 100,9.3,504,yes
QNS322,NA,BMP4 100,9.3,556,yes
QNS322,NA,BMP4 100,9.3,529,yes
QNS337,NA,CTRL,9.3,1066,yes
QNS337,NA,CTRL,9.3,1079,yes
QNS337,NA,CTRL,9.3,1037,yes
QNS337,NA,CTRL,9.3,978,yes
QNS337,NA,BMP4 100,9.3,883,yes
QNS337,NA,BMP4 100,9.3,772,yes
QNS337,NA,BMP4 100,9.3,587,yes
QNS337,NA,BMP4 100,9.3,392,yes
QNS509,2,CTRL,9,101,yes
QNS509,2,CTRL,9,141,yes
QNS509,2,CTRL,9,264,yes
QNS509,2,CTRL,9,241,yes
QNS509,3,CTRL,9,426,yes
QNS509,3,CTRL,9,231,yes
QNS509,3,CTRL,9,262,yes
QNS509,3,CTRL,9,384,yes
GBM549,NA,CTRL,9.3,988,
GBM549,NA,CTRL,9.3,924,
GBM549,NA,CTRL,9.3,1549,
GBM549,NA,CTRL,9.3,1808,
GBM549,NA,BMP4 100,9.3,1833,
GBM549,NA,BMP4 100,9.3,1881,
GBM549,NA,BMP4 100,9.3,2025,
GBM549,NA,BMP4 100,9.3,2404,
QNS712,11,CTRL,10,2545.333333,yes
QNS712,11,CTRL,10,2616.333333,yes
QNS712,11,CTRL,10,2384.333333,yes
QNS712,11,CTRL,10,2471.333333,yes
QNS712,11,CTRL,10,1786.333333,yes
QNS712,11,BMP4 100,10,1392.333333,yes
QNS712,11,BMP4 100,10,649.3333333,yes
QNS712,11,BMP4 100,10,993.3333333,yes
QNS712,11,BMP4 100,10,465.3333333,yes
QNS712,11,BMP4 100,10,496.3333333,yes
QNS315,11,CTRL,10,2010.333333,
QNS315,11,CTRL,10,2042.333333,
QNS315,11,CTRL,10,2048.333333,
QNS315,11,CTRL,10,2009.333333,
QNS315,11,CTRL,10,1624.333333,yes
QNS315,11,BMP4 100,10,2048.333333,yes
QNS315,11,BMP4 100,10,1248.333333,
QNS315,11,BMP4 100,10,1237.333333,
QNS315,11,BMP4 100,10,749.3333333,
QNS315,11,BMP4 100,10,844.3333333,
QNS657,10,CTRL,10,828.3333333,
QNS657,10,CTRL,10,772.3333333,
QNS657,10,CTRL,10,693.3333333,
QNS657,10,CTRL,10,811.3333333,
QNS657,10,CTRL,10,666.3333333,
QNS657,10,BMP4 100,10,810.3333333,yes
QNS657,10,BMP4 100,10,543.3333333,
QNS657,10,BMP4 100,10,517.3333333,
QNS657,10,BMP4 100,10,299.3333333,
QNS657,10,BMP4 100,10,286.3333333,
QNS657,13,CTRL,10,1079.333333,
QNS657,13,CTRL,10,1253.333333,
QNS657,13,CTRL,10,1304.333333,
QNS657,13,CTRL,10,1283.333333,
QNS657,13,CTRL,10,1176.333333,
QNS657,13,BMP4 100,10,1019.333333,yes
QNS657,13,BMP4 100,10,752.3333333,
QNS657,13,BMP4 100,10,698.3333333,
QNS657,13,BMP4 100,10,459.3333333,
QNS657,13,BMP4 100,10,398.3333333,
GBM640,9,CTRL,10,1012.333333,
GBM640,9,CTRL,10,901.3333333,
GBM640,9,CTRL,10,958.3333333,
GBM640,9,CTRL,10,1086.333333,
GBM640,9,CTRL,10,877.3333333,
GBM640,9,BMP4 100,10,754.3333333,
GBM640,9,BMP4 100,10,533.3333333,
GBM640,9,BMP4 100,10,527.3333333,
GBM640,9,BMP4 100,10,251.3333333,
GBM640,9,BMP4 100,10,132.3333333,
GBM640,7,CTRL,10,871.3333333,
GBM640,7,CTRL,10,1029.333333,
GBM640,7,CTRL,10,1260.333333,
GBM640,7,CTRL,10,1290.333333,
GBM640,7,CTRL,10,1215.333333,
GBM640,7,BMP4 100,10,792.3333333,
GBM640,7,BMP4 100,10,645.3333333,
GBM640,7,BMP4 100,10,615.3333333,
GBM640,7,BMP4 100,10,454.3333333,
GBM640,7,BMP4 100,10,130.3333333,
QNS120,11,CTRL,11,6043,yes
QNS120,11,CTRL,11,6236,yes
QNS120,11,CTRL,11,6917,yes
QNS120,11,CTRL,11,6980,yes
QNS120,11,CTRL,11,6790,yes
QNS120,11,BMP4,11,6407,yes
QNS120,11,BMP4,11,6131,yes
QNS120,11,BMP4,11,6339,yes
QNS120,11,BMP4,11,6269,yes
QNS120,11,BMP4,11,5824,yes
QNS140,13,CTRL,11,4256,
QNS140,13,CTRL,11,4706,
QNS140,13,CTRL,11,4473,
QNS140,13,CTRL,11,4604,
QNS140,13,CTRL,11,5242,
QNS140,13,BMP4,11,2967,
QNS140,13,BMP4,11,3030,
QNS140,13,BMP4,11,3209,
QNS140,13,BMP4,11,2355,
QNS140,13,BMP4,11,1718,
QNS166,15,CTRL,11,5834,
QNS166,15,CTRL,11,5681,
QNS166,15,CTRL,11,5534,
QNS166,15,CTRL,11,5617,
QNS166,15,CTRL,11,5917,
QNS166,15,BMP4,11,3595,
QNS166,15,BMP4,11,4101,
QNS166,15,BMP4,11,3711,
QNS166,15,BMP4,11,3773,
QNS166,15,BMP4,11,2577,
QNS315,14,CTRL,11,4301,
QNS315,14,CTRL,11,4571,
QNS315,14,CTRL,11,4433,
QNS315,14,CTRL,11,4825,
QNS315,14,CTRL,11,4690,
QNS315,14,BMP4,11,4505,
QNS315,14,BMP4,11,3932,
QNS315,14,BMP4,11,3645,
QNS315,14,BMP4,11,4175,
QNS315,14,BMP4,11,3307,
QNS522b,12,CTRL,11,5660,
QNS522b,12,CTRL,11,5658,
QNS522b,12,CTRL,11,5624,
QNS522b,12,CTRL,11,5469,
QNS522b,12,CTRL,11,5601,
QNS522b,12,BMP4,11,6531,
QNS522b,12,BMP4,11,6362,
QNS522b,12,BMP4,11,6361,
QNS522b,12,BMP4,11,6182,
QNS522b,12,BMP4,11,6219,
QNS657,12,CTRL,11,5682,
QNS657,12,CTRL,11,5559,
QNS657,12,CTRL,11,5429,
QNS657,12,CTRL,11,5684,
QNS657,12,CTRL,11,6035,
QNS657,12,BMP4,11,5857,
QNS657,12,BMP4,11,5637,
QNS657,12,BMP4,11,5725,
QNS657,12,BMP4,11,5645,
QNS657,12,BMP4,11,5834,
QNS108,17,CTRL,12,5996,
QNS108,17,CTRL,12,6204,
QNS108,17,CTRL,12,6298,
QNS108,17,CTRL,12,6242,
QNS108,17,CTRL,12,6172,
QNS108,17,BMP4,12,6958,
QNS108,17,BMP4,12,7018,
QNS108,17,BMP4,12,7010,
QNS108,17,BMP4,12,6826,
QNS108,17,BMP4,12,6434,
GBM1a,5,CTRL,12,7486,yes
GBM1a,5,CTRL,12,7258,yes
GBM1a,5,CTRL,12,7492,yes
GBM1a,5,CTRL,12,6632,yes
GBM1a,5,CTRL,12,7232,yes
GBM1a,5,BMP4,12,7050,yes
GBM1a,5,BMP4,12,7118,yes
GBM1a,5,BMP4,12,7058,yes
GBM1a,5,BMP4,12,6592,yes
GBM1a,5,BMP4,12,6824,yes
GBM549,13,CTRL,12,7264,
GBM549,13,CTRL,12,7182,
GBM549,13,CTRL,12,6968,
GBM549,13,CTRL,12,5704,
GBM549,13,CTRL,12,5768,
GBM549,13,BMP4,12,6924,
GBM549,13,BMP4,12,7058,
GBM549,13,BMP4,12,6974,
GBM549,13,BMP4,12,7018,
GBM549,13,BMP4,12,6888,
GBM626,14,CTRL,12,5326,yes
GBM626,14,CTRL,12,5460,yes
GBM626,14,CTRL,12,5454,yes
GBM626,14,CTRL,12,5650,yes
GBM626,14,CTRL,12,5532,yes
GBM626,14,BMP4,12,5442,yes
GBM626,14,BMP4,12,5486,yes
GBM626,14,BMP4,12,5420,yes
GBM626,14,BMP4,12,5506,yes
GBM626,14,BMP4,12,5284,yes
GBM963,10,CTRL,12,7032,
GBM963,10,CTRL,12,6748,
GBM963,10,CTRL,12,6848,
GBM963,10,CTRL,12,6044,
GBM963,10,CTRL,12,5558,yes
GBM963,10,BMP4,12,6368,
GBM963,10,BMP4,12,5776,
GBM963,10,BMP4,12,6392,
GBM963,10,BMP4,12,6194,
GBM963,10,BMP4,12,6436,
GBM965,14,CTRL,12,6716,yes
GBM965,14,CTRL,12,6820,yes
GBM965,14,CTRL,12,6828,yes
GBM965,14,CTRL,12,5844,yes
GBM965,14,CTRL,12,6004,yes
GBM965,14,BMP4,12,6816,yes
GBM965,14,BMP4,12,6608,yes
GBM965,14,BMP4,12,6728,yes
GBM965,14,BMP4,12,6734,yes
GBM965,14,BMP4,12,6736,yes
GBM1a,NA,CTRL,13.1,4127,
GBM1a,NA,CTRL,13.2,4701,
GBM1a,NA,CTRL,13.3,4834,
GBM1a,NA,CTRL,13.4,5456,
GBM1a,NA,CTRL,13.5,4988,
GBM1a,NA,CTRL,13.6,5676,
GBM1a,NA,CTRL,13.7,5689,
GBM1a,NA,CTRL,13.8,5278,
GBM1a,NA,BMP4,13.1,856,
GBM1a,NA,BMP4,13.2,1110,
GBM1a,NA,BMP4,13.3,1241,
GBM1a,NA,BMP4,13.4,1405,
GBM1a,NA,BMP4,13.5,1534,
GBM1a,NA,BMP4,13.6,1808,
GBM1a,NA,BMP4,13.7,1987,
GBM1a,NA,BMP4,13.8,2123,
GBM626,NA,CTRL,13.1,3140,
GBM626,NA,CTRL,13.2,3578,
GBM626,NA,CTRL,13.3,4195,
GBM626,NA,CTRL,13.4,4548,
GBM626,NA,CTRL,13.5,5001,
GBM626,NA,CTRL,13.6,5327,
GBM626,NA,CTRL,13.7,5352,
GBM626,NA,CTRL,13.8,5277,
GBM626,NA,BMP4,13.1,659,
GBM626,NA,BMP4,13.2,832,
GBM626,NA,BMP4,13.3,834,
GBM626,NA,BMP4,13.4,1071,
GBM626,NA,BMP4,13.5,1102,
GBM626,NA,BMP4,13.6,1324,
GBM626,NA,BMP4,13.7,1572,
GBM626,NA,BMP4,13.8,1694,
GBM640,NA,CTRL,13.1,1664,
GBM640,NA,CTRL,13.2,2079,
GBM640,NA,CTRL,13.3,2127,
GBM640,NA,CTRL,13.4,2618,
GBM640,NA,CTRL,13.5,2296,
GBM640,NA,CTRL,13.6,2746,
GBM640,NA,CTRL,13.7,2736,
GBM640,NA,CTRL,13.8,2907,
GBM640,NA,BMP4,13.1,758,
GBM640,NA,BMP4,13.2,849,
GBM640,NA,BMP4,13.3,1072,
GBM640,NA,BMP4,13.4,1285,
GBM640,NA,BMP4,13.5,1464,
GBM640,NA,BMP4,13.6,1679,
GBM640,NA,BMP4,13.7,1626,
GBM640,NA,BMP4,13.8,1933,
GBM963,NA,CTRL,13.1,2545,yes
GBM963,NA,CTRL,13.2,2758,yes
GBM963,NA,CTRL,13.3,3078,yes
GBM963,NA,CTRL,13.4,3473,yes
GBM963,NA,CTRL,13.5,2994,yes
GBM963,NA,CTRL,13.6,3725,yes
GBM963,NA,CTRL,13.7,3860,yes
GBM963,NA,CTRL,13.8,3725,yes
GBM963,NA,BMP4,13.1,1290,yes
GBM963,NA,BMP4,13.2,2354,yes
GBM963,NA,BMP4,13.3,2677,yes
GBM963,NA,BMP4,13.4,3292,yes
GBM963,NA,BMP4,13.5,3491,yes
GBM963,NA,BMP4,13.6,3725,yes
GBM963,NA,BMP4,13.7,3943,yes
GBM963,NA,BMP4,13.8,3691,yes
QNS166,NA,CTRL,13.1,2225,
QNS166,NA,CTRL,13.2,2842,
QNS166,NA,CTRL,13.3,2825,
QNS166,NA,CTRL,13.4,3495,
